"ridership","Austin","Quincy_Wells","Belmont","Archer_35th","Oak_Park","Western","Clark_Lake","Clinton","Merchandise_Mart","Irving_Park","Washington_Wells","Harlem","Monroe","Polk","Ashland","Kedzie","Addison","Jefferson_Park","Montrose","California","temp_min","temp","temp_max","temp_change","dew","humidity","pressure","pressure_change","wind","wind_max","gust","gust_max","percip","percip_max","weather_rain","weather_snow","weather_cloud","weather_storm","Blackhawks_Away","Blackhawks_Home","Bulls_Away","Bulls_Home","Bears_Away","Bears_Home","WhiteSox_Away","WhiteSox_Home","Cubs_Away","Cubs_Home","date"
7.316,1.284,1.916,3.462,1.874,0.903,2.698,6.888,1.517,1.998,2.813,1.494,1.606,2.515,1.088,1.032,1.753,1.672,4.037,1.48,0.795,42.1,52,60.1,18,36.5,59,30.2,0.109999999999999,4.6,12.7,0,18.4,0,0,0,0,0.916666666666667,0.0416666666666667,0,1,0,0,0,0,0,0,0,0,2014-10-11
8.458,0.852,1.646,2.549,1.37,0.61,1.84,5.701,1.534,1.348,2.117,0.958,1.248,1.889,0.732,0.765,1.168,1.088,3.02,1.135,0.672,45,51.1,64,19,39,62,30.11,0.280000000000001,9.2,18.4,0,23,0,0,0,0,0.521739130434783,0.173913043478261,0,0,0,0,1,0,0,0,0,0,2014-10-12
17.288,2.394,8.578,5.68,3.326,2.084,5.24,20.33,3.998,7.528,4.668,7.969,3.309,7.757,3.736,1.714,2.904,3.225,7.416,2.823,1.271,57.9,64,71.1,13.2,59,88,29.85,0.299999999999997,8.1,17.3,0,24.2,0,0.06,0.230769230769231,0,0.769230769230769,0.743589743589744,0,0,0,0,0,0,0,0,0,0,2014-10-13
21.431,2.267,8.438,5.767,3.396,2.005,5.269,20.127,3.853,7.741,4.754,8.131,3.493,7.784,3.968,1.824,2.998,3.246,7.421,2.8,1.286,59,64,70,11,61,90,29.51,0.140000000000001,8.65,17.3,0,26.5,0.025,0.32,0.714285714285714,0,0.285714285714286,0.267857142857143,0,0,0,0,0,0,0,0,0,0,2014-10-14
20.979,2.416,8.439,5.845,3.496,2.13,5.372,20.588,3.838,7.751,4.909,8.077,3.559,7.818,3.797,1.844,3.038,3.288,7.652,2.947,1.371,53.1,55,59,5.9,52,93,29.73,0.209999999999997,9.2,17.3,0,24.2,0,0.09,0.657894736842105,0,0.342105263157895,0.342105263157895,0,1,0,0,0,0,0,0,0,0,2014-10-15
21.606,2.445,8.257,5.83,3.375,2.126,5.345,20.561,3.911,7.731,4.828,7.867,3.499,7.988,3.846,1.81,2.954,3.358,7.571,2.917,1.306,53.1,55,57.9,4.8,52,89,29.81,0.140000000000001,8.1,12.7,0,0,0,0,0.1875,0,0.8125,0.75,0,0,0,0,0,0,0,0,0,0,2014-10-16
21.07,2.258,7.918,6.066,3.299,2.02,5.166,20.26,3.99,7.167,4.959,7.375,3.593,7.745,3.495,1.765,2.794,3.322,7.458,2.72,1.344,52,57,62.1,10.1,48,72,29.65,0.23,11.5,18.4,0,24.2,0,0,0,0,0.896551724137931,0.517241379310345,0,0,0,0,0,0,0,0,0,0,2014-10-17
7.424,1.06,1.674,3.316,1.688,0.823,2.428,8.405,1.389,2.026,2.571,1.194,1.44,2.12,1.035,0.956,1.501,1.514,3.71,1.35,0.736,46.9,50,55.9,9,41,71,30.03,0.390000000000001,11.5,18.4,0,21.9,0,0.01,0.142857142857143,0,0.857142857142857,0.542857142857143,0,1,0,0,0,0,0,0,0,0,2014-10-18
6.109,0.752,1.652,2.47,1.14,0.533,1.716,5.446,1.411,1.171,1.974,0.946,1.022,1.82,0.716,0.724,1.115,1.008,2.806,1.118,0.603,37,44.05,55.9,18.9,37.45,75,30.21,0.25,6.9,16.1,0,23,0,0,0,0,1,0.0833333333333333,0,0,0,0,0,1,0,0,0,0,2014-10-19
20.887,2.347,8.655,5.714,3.471,2.055,5.25,20.166,3.951,7.949,4.794,7.939,3.249,7.843,3.822,1.765,2.922,3.108,7.425,2.836,1.39,50,53.55,64.9,14.9,46,71,29.855,0.16,9.2,15,0,0,0,0,0,0,0.875,0.166666666666667,0,0,0,0,0,0,0,0,0,0,2014-10-20
20.647,2.401,8.806,5.731,3.438,2.11,5.368,20.762,3.929,8.144,4.915,7.984,3.473,8.141,3.841,1.855,2.911,3.189,7.434,2.867,1.34,48.9,52,55.9,7,42.1,68,30.15,0.260000000000002,12.7,18.4,0,21.9,0,0,0,0,1,0.703703703703704,0,1,0,0,0,0,0,0,0,0,2014-10-21
20.52,2.4,8.443,5.849,3.577,2.167,5.311,20.848,3.839,8.17,5.033,8.09,3.518,8.097,3.949,1.846,3.008,3.292,7.613,2.988,1.371,44.1,50,55.9,11.8,37.9,66,30.3,0.140000000000001,6.9,10.4,0,0,0,0,0,0,0.846153846153846,0.192307692307692,0,0,0,0,0,0,0,0,0,0,2014-10-22
20.794,2.437,8.476,5.985,3.422,2.147,5.302,21.215,3.88,8.086,4.89,8.045,3.513,8.148,3.91,1.845,3.038,3.262,7.62,2.982,1.353,42.1,48.45,62.1,20,39.45,68.5,30.235,0.219999999999999,6.9,12.7,0,0,0,0,0,0,0.666666666666667,0.166666666666667,1,0,0,0,0,0,0,0,0,0,2014-10-23
20.2,2.45,7.94,5.965,3.347,1.989,5.193,20.22,4.083,7.269,4.964,7.38,3.372,7.865,3.578,1.726,2.913,3.4,7.622,2.731,1.326,54,57,66.9,12.9,46.9,67,30.05,0.140000000000001,5.8,9.2,0,0,0,0,0,0,1,0.518518518518518,0,0,0,0,0,0,0,0,0,0,2014-10-24
6.726,1.112,2.334,3.474,1.738,0.86,2.568,7.316,1.796,2.156,2.713,1.335,1.638,2.701,1.087,0.954,1.584,1.547,3.988,1.426,0.764,55.9,62.8,73.9,18,51.1,64,29.91,0.0500000000000007,10.4,18.4,0,27.6,0,0,0,0,0.884615384615385,0.384615384615385,1,0,0,0,0,0,0,0,0,0,2014-10-25
5.689,0.989,3.208,2.777,1.624,1.009,1.916,8.458,2.26,2.612,2.358,2.008,1.321,3.702,1.279,0.96,1.235,1.36,3.352,1.171,0.481,44.1,55.9,64.9,20.8,30,42,29.975,0.129999999999999,5.8,10.4,0,0,0,0,0,0,0.375,0,0,1,0,0,1,0,0,0,0,0,2014-10-26
20.193,1.959,7.91,5.194,2.956,1.695,4.38,17.288,3.573,7.274,4.115,7.086,2.733,7.023,3.181,1.417,2.5,2.572,6.298,2.401,0.942,54,61.55,78.1,24.1,51.55,52.5,29.715,0.329999999999998,10.95,23,0,34.5,0,0,0,0,1,0.166666666666667,0,0,0,0,0,0,0,0,0,0,2014-10-27
20.287,2.322,9.144,5.714,3.327,2.098,5.225,21.431,4.16,8.775,4.761,8.643,3.503,8.267,3.967,1.708,2.947,3.292,7.47,2.808,1.247,54,59.55,73,19,42.55,58,29.79,0.359999999999999,15.55,23,23,32.2,0,0.02,0.166666666666667,0,0.833333333333333,0.25,0,1,0,0,0,0,0,0,0,0,2014-10-28
20.635,2.345,8.47,5.933,3.419,2.048,5.284,20.979,3.961,8.292,4.829,8.186,3.589,8.199,3.9,1.832,3.011,3.353,7.58,2.871,1.301,46,48,52,6,33.1,55,30.045,0.18,11.5,18.4,0,21.9,0,0,0,0,0.958333333333333,0.625,0,0,1,0,0,0,0,0,0,0,2014-10-29
21.111,2.429,8.425,6.06,3.447,2.102,5.313,21.606,4.099,8.129,4.946,7.878,3.625,8.044,3.838,1.812,3.133,3.6,7.825,2.942,1.382,37,45.05,52,15,34.55,63,30.15,0.100000000000001,4.6,11.5,0,0,0,0,0,0,0.833333333333333,0.333333333333333,1,0,0,0,0,0,0,0,0,0,2014-10-30
19.51,2.344,7.989,6.038,3.228,2.037,4.95,21.07,4.069,7.603,4.861,7.662,3.567,7.95,3.524,1.796,2.961,3.384,7.534,2.804,1.371,34,39.9,48.9,14.9,30,68,30.15,0.32,21.9,36.8,32.2,49.5,0,0.02,0.205128205128205,0.307692307692308,0.307692307692308,0.205128205128205,0,0,0,1,0,0,0,0,0,0,2014-10-31
6.128,1.046,2.363,3.446,1.741,0.862,2.554,7.424,1.595,2.215,2.719,1.354,1.62,2.454,0.935,1.02,1.631,1.5,4.009,1.442,0.755,37.9,39.9,44.1,6.2,27,60,30.42,0.140000000000001,15,24.2,8.05,32.2,0,0.01,0,0.0833333333333333,0.75,0.166666666666667,1,0,1,0,0,0,0,0,0,0,2014-11-01
8.697,0.89,1.942,2.706,1.261,0.577,1.696,6.109,1.491,1.352,2.151,1.011,1.133,2.205,0.742,0.754,1.164,1.159,2.979,1.087,0.593,30,38.45,53.1,23.1,28,73,30.43,0.210000000000001,6.95,15,0,21.9,0,0,0,0,0.708333333333333,0.208333333333333,0,1,0,0,0,0,0,0,0,0,2014-11-02
20.95,2.333,8.752,5.585,3.474,2.051,5.145,20.887,4.021,8.193,4.719,8.029,3.342,7.83,3.666,1.668,2.995,3.17,7.333,2.841,1.348,45,50,64,19,30,44,30.13,0.240000000000002,13.8,19.6,0,25.3,0,0,0,0,1,0.565217391304348,0,0,0,0,0,0,0,0,0,0,2014-11-03
19.38,2.347,8.73,5.765,3.399,2.089,5.189,20.647,3.923,8.393,4.808,8.001,3.577,7.945,3.773,1.794,2.97,3.215,7.456,2.921,1.307,48,55,62.1,14.1,41.55,65,29.935,0.169999999999998,17.3,21.9,23.6,33.4,0,0.02,0.1,0,0.9,0.833333333333333,1,0,0,1,0,0,0,0,0,0,2014-11-04
20.748,2.388,8.775,5.838,3.473,2.083,5.24,20.52,3.767,8.287,4.83,8.104,3.652,7.961,3.798,1.811,3.054,3.307,7.411,2.921,1.312,39.9,46.45,63,23.1,37,71,30.1,0.190000000000001,10.4,15,0,24.2,0,0,0,0,0.916666666666667,0.25,0,0,1,0,0,0,0,0,0,0,2014-11-05
20.69,2.344,8.377,5.772,3.374,2.098,5.287,20.794,3.894,8.296,5.017,8.074,3.622,8.069,3.691,1.893,3.061,3.383,7.524,2.88,1.327,42.1,48,57,14.9,37,65,29.915,0.43,17.3,26.5,26.5,39.1,0,0,0.0384615384615385,0,0.961538461538462,0.923076923076923,0,0,0,0,0,0,0,0,0,0,2014-11-06
20.202,2.283,7.675,5.723,3.206,1.982,5.019,20.2,3.914,7.34,4.913,7.583,3.447,7.509,3.442,1.778,3.01,3.273,7.389,2.81,1.349,37.9,41,45,7.1,26.1,55,30.215,0.25,9.2,13.8,0,25.3,0,0,0,0,1,0.541666666666667,0,1,1,0,0,0,0,0,0,0,2014-11-07
6.736,1.169,1.861,3.346,1.811,0.793,2.56,6.726,1.436,1.942,2.672,1.268,1.724,2.264,1.132,1.068,1.663,1.528,3.949,1.435,0.757,43,44.55,48.9,5.9,32,63,29.875,0.220000000000002,12.7,20.7,0,28.8,0,0,0.0384615384615385,0,0.961538461538462,0.653846153846154,0,0,0,1,0,0,0,0,0,0,2014-11-08
5.852,0.788,1.686,2.639,1.172,0.531,1.698,5.689,1.511,1.229,1.999,0.904,1.052,1.912,0.729,0.736,1.195,1.125,2.977,1.066,0.6,36,42,52,16,27,53,29.945,0.210000000000001,9.2,18.4,0,28.8,0,0,0,0,1,0.375,0,1,0,0,1,0,0,0,0,0,2014-11-09
20.006,2.345,8.549,5.56,3.425,1.994,5.112,20.193,3.846,7.904,4.664,8.145,3.399,7.657,3.714,1.718,2.985,3.243,7.296,2.804,1.274,45,50,64,19,38.45,59,29.79,0.299999999999997,7.5,18.4,0,34.5,0,0,0,0,1,0.708333333333333,0,0,0,1,0,0,0,0,0,0,2014-11-10
16.393,2.428,8.521,5.607,3.436,2.116,5.188,20.287,3.849,8.231,4.81,8.179,3.525,8.129,3.793,1.743,2.98,3.267,7.571,2.82,1.276,36,46,61,25,39,76,29.68,0.460000000000001,15,21.9,0,29.9,0,0.19,0.166666666666667,0,0.833333333333333,0.666666666666667,0,1,0,0,0,0,0,0,0,0,2014-11-11
20.211,2.406,8.425,5.773,3.391,2.059,5.226,20.635,3.87,8.521,4.856,8.136,3.483,7.954,3.729,1.779,3.036,3.306,7.391,2.849,1.27,28,30.9,36,8,18,59,30.28,0.299999999999997,13.8,18.4,0,28.8,0,0,0,0,1,0.67741935483871,0,0,0,0,0,0,0,0,0,0,2014-11-12
20.398,2.379,8.469,5.95,3.452,2.13,5.245,21.111,3.85,8.392,4.844,7.972,3.499,8.277,3.808,1.889,2.965,3.258,7.457,2.87,1.258,26.1,28.45,30,3.9,16,58,30.33,0.0400000000000027,11.5,16.1,0,21.9,0,0,0,0.75,0.25,0.208333333333333,0,0,1,0,0,0,0,0,0,0,2014-11-13
20.138,2.164,8.332,5.628,2.99,1.988,4.657,19.51,4.069,7.585,4.581,7.83,3.182,7.551,3.344,1.721,2.706,3.133,6.943,2.497,1.257,26.1,28,28.9,2.8,15.1,58,30.365,0.109999999999999,8.65,13.8,0,21.9,0,0,0,0.607142857142857,0.392857142857143,0.357142857142857,1,0,0,0,0,0,0,0,0,0,2014-11-14
5.902,1.012,1.967,3.292,1.589,0.679,2.243,6.128,1.448,1.958,2.558,1.328,1.399,2.155,0.954,0.919,1.411,1.351,3.65,1.346,0.721,21,28,33.1,12.1,13.45,53.5,30.4,0.129999999999999,5.8,11.5,0,0,0,0,0,0,0.958333333333333,0.458333333333333,0,0,0,1,0,0,0,0,0,0,2014-11-15
4.77,0.775,1.857,2.658,1.22,0.617,1.666,8.697,1.529,1.958,2.046,0.978,1.08,1.898,0.704,0.697,1.137,1.151,2.981,1.012,0.628,28,30.9,33.8,5.8,25,75,30.14,0.32,8.1,11.5,0,0,0,0,0,0.517241379310345,0.482758620689655,0.344827586206897,0,1,0,0,0,1,0,0,0,0,2014-11-16
19.237,2.289,8.789,5.598,3.387,2.053,5.118,20.95,3.966,8.277,4.812,7.954,3.31,7.924,3.774,1.774,3.013,3.18,6.98,2.767,1.296,14,18.5,32,18,8.1,65,29.925,0.16,13.8,24.2,0,35.7,0,0,0,0.192307692307692,0.807692307692308,0.115384615384615,0,0,1,0,0,0,0,0,0,0,2014-11-17
19.25,2.389,8.585,5.631,3.353,2.011,5.061,19.38,3.655,8.102,4.777,8.074,3.434,7.847,3.797,1.684,3.008,3.267,7.413,2.741,1.227,12,14,21,9,5,64,30.06,0.210000000000001,16.1,20.7,26.5,34.5,0,0,0,0.575757575757576,0.424242424242424,0.0606060606060606,0,0,0,0,0,0,0,0,0,0,2014-11-18
19.706,2.417,8.537,5.792,3.406,2.071,5.3,20.748,3.764,8.28,4.773,8.2,3.503,8.005,3.836,1.656,3.061,3.397,7.59,2.885,1.262,19,24.55,33.1,14.1,11.45,59,29.93,0.390000000000001,13.25,20.7,0,33.4,0,0,0,0.291666666666667,0.708333333333333,0.375,0,0,0,0,0,0,0,0,0,0,2014-11-19
19.666,2.302,8.382,5.839,3.338,1.99,5.082,20.69,3.912,8.365,4.77,7.935,3.43,8.215,3.713,1.758,2.97,3.377,7.374,2.934,1.267,19.9,25,28.9,9,10,53,30.1,0.219999999999999,15,21.9,21.9,33.4,0,0,0,0,0.666666666666667,0.0416666666666667,1,0,1,0,0,0,0,0,0,0,2014-11-20
19.631,2.272,8.236,5.8,3.154,1.975,4.788,20.202,4.18,7.506,4.667,7.471,3.271,7.738,3.596,1.622,2.775,3.009,7.259,2.573,1.25,14,21,35.1,21.1,3.9,49,30.405,0.260000000000002,8.1,15,0,24.2,0,0,0,0,0.375,0,0,0,1,0,0,0,0,0,0,0,2014-11-21
8.592,1.044,1.77,3.225,1.603,0.766,2.498,6.736,1.414,2.177,2.587,1.222,1.517,2.252,1,0.928,1.558,1.434,3.713,1.267,0.692,30.9,37,53.1,22.2,35.1,81,30.075,0.469999999999999,11.5,16.1,0,28.8,0,0.02,0.125,0,0.875,0.8125,1,0,0,0,0,0,0,0,0,0,2014-11-22
4.861,0.815,1.738,2.522,1.237,0.602,1.708,5.852,1.437,1.461,2.067,1.061,1.122,3.02,0.78,0.748,1.099,1.204,2.997,1.019,0.567,50,52,54,4,46.9,83,29.75,0.579999999999998,11.5,17.3,0,21.9,0,0.07,0.483870967741935,0,0.516129032258065,0.451612903225806,1,0,0,0,0,1,0,0,0,0,2014-11-23
19.143,2.264,7.41,5.658,3.332,1.97,5.053,20.006,3.748,8.023,4.697,7.774,3.337,7.458,3.674,1.705,2.898,3.203,7.195,2.72,1.286,28.9,36,53.1,24.2,33.1,89,29.27,0.630000000000003,20.7,31.1,32.2,42.6,0.01,0.1,0.463414634146341,0.439024390243902,0.0975609756097561,0.0975609756097561,0,0,1,0,0,0,0,0,0,0,2014-11-24
20.336,1.937,6.523,5.079,2.634,1.785,4.128,16.393,3.314,7.562,4.267,6.922,2.909,6.255,3.281,1.413,2.44,2.615,6.343,2.409,0.92,23,25,28.9,5.9,17.1,75,30.055,0.48,13.25,26.5,0,39.1,0,0,0,0.416666666666667,0.583333333333333,0.166666666666667,0,0,1,0,0,0,0,0,0,0,2014-11-25
17.374,2.259,8.201,5.771,3.291,2.003,4.93,20.211,3.894,8.453,4.705,7.742,3.381,7.86,3.726,1.63,2.889,3.174,7.334,2.741,1.172,21.9,24.1,30.9,9,18,77,30.2,0.100000000000001,5.8,10.4,0,0,0,0,0,0,1,0.689655172413793,1,0,0,0,0,0,0,0,0,0,2014-11-26
3.391,2.211,8.353,5.666,3.195,1.972,4.877,20.398,4.089,8.347,4.674,7.83,3.219,7.931,3.711,1.601,2.762,2.886,7.074,2.636,1.166,23,27.05,32,9,19.45,73.5,30.315,0.259999999999998,10.95,15,0,0,0,0,0,0.333333333333333,0.666666666666667,0.4,0,0,0,0,1,0,0,0,0,0,2014-11-27
6.838,2.155,8.075,5.847,3.137,1.891,4.765,20.138,3.931,7.477,4.743,7.774,3.286,7.708,3.553,1.628,2.787,3.107,7.216,2.514,1.195,19.9,21.9,35.1,15.2,13.45,65,30.34,0.439999999999998,9.2,16.1,0,25.3,0,0,0,0.125,0.875,0.583333333333333,1,0,1,0,0,0,0,0,0,0,2014-11-28
6.986,1.008,1.735,3.162,1.535,0.736,2.364,5.902,1.457,1.89,2.563,1.235,1.437,2.165,0.966,0.86,1.501,1.337,3.673,1.248,0.696,33.1,37,53.1,20,30.9,76,29.77,0.370000000000001,11.5,20.7,0,31.1,0,0,0,0,0.96,0.16,1,0,0,0,0,0,0,0,0,0,2014-11-29
4.801,0.721,1.318,2.393,1.102,0.531,1.565,4.77,1.279,1.097,1.871,0.817,1.036,1.739,0.66,0.661,1.034,0.979,2.852,0.892,0.552,36,50,55,19,46,86,29.705,0.48,13.8,19.6,0,27.6,0,0,0,0,1,0.352941176470588,0,0,1,0,0,0,0,0,0,0,2014-11-30
19.318,2.124,8.675,5.488,3.127,1.887,4.882,19.237,3.97,7.894,4.537,8.095,3.264,7.498,3.522,1.563,2.724,3.034,6.931,2.564,1.123,21,23,34,13,9.05,57,30.6,0.539999999999999,12.7,18.4,0,0,0,0,0,0.115384615384615,0.884615384615385,0.730769230769231,0,0,0,0,0,0,0,0,0,0,2014-12-01
20.041,2.132,7.842,5.561,3.094,1.903,4.762,19.25,3.834,7.139,4.584,7.517,3.276,7.793,3.521,1.551,2.644,2.997,6.849,2.576,1.111,23,27.5,33.1,10.1,18,69,30.375,0.580000000000002,10.4,15,0,0,0,0,0,0,1,0.5,0,0,0,1,0,0,0,0,0,0,2014-12-02
20.094,2.206,8.417,5.685,3.162,1.967,4.917,19.706,3.927,8.061,4.555,7.96,3.389,7.665,3.672,1.607,2.842,3.077,7.085,2.679,1.251,27,32,39,12,22.45,76,30.145,0.290000000000003,11.5,17.3,0,20.7,0,0,0.0357142857142857,0.107142857142857,0.714285714285714,0.214285714285714,0,1,1,0,0,0,0,0,0,0,2014-12-03
20.74,2.218,8.409,5.688,3.13,1.983,4.903,19.666,3.999,8.221,4.682,7.897,3.367,7.732,3.679,1.615,2.808,3.155,7.163,2.697,1.259,27,31.45,36,9,18.05,57.5,30.41,0.109999999999999,8.1,11.5,0,0,0,0,0,0,1,0.666666666666667,0,0,0,0,0,1,0,0,0,0,2014-12-04
20.176,2.199,7.905,5.673,3.107,1.981,4.762,19.631,3.924,7.282,4.805,7.615,3.319,7.426,3.468,1.617,2.754,3.177,6.976,2.553,1.204,35.1,36,41,5.9,31.45,78,30.245,0.149999999999999,5.8,10.4,0,0,0,0,0,0,1,0.633333333333333,0,1,0,0,0,0,0,0,0,0,2014-12-05
7.803,1.094,1.575,3.507,2.059,0.865,2.736,8.592,1.621,2.154,2.659,1.42,1.679,2.299,1.074,1.124,1.749,1.613,4.112,1.35,0.735,37,39,42.1,5.1,31.45,76,30.425,0.439999999999998,12.1,20.7,0,31.1,0,0,0,0,1,0.392857142857143,1,0,0,1,0,0,0,0,0,0,2014-12-06
5.62,0.776,1.244,2.46,1.203,0.584,1.588,4.861,1.296,1.232,1.989,1.041,1.027,1.667,0.653,0.705,1.104,0.981,2.783,0.982,0.539,30,35.55,37.9,7.9,21.9,61.5,30.66,0.25,8.1,11.5,0,0,0,0,0,0,1,0.458333333333333,0,0,0,0,0,0,0,0,0,0,2014-12-07
19.452,2.117,8.637,5.477,3.169,1.893,4.767,19.143,4.145,7.872,4.455,7.827,3.115,7.272,3.472,1.664,2.601,2.928,6.944,2.527,1.135,35.1,36,39,3.9,32,86,30.115,0.379999999999999,10.4,12.7,0,20.7,0,0.03,0.533333333333333,0,0.466666666666667,0.333333333333333,0,0,0,0,0,0,0,0,0,0,2014-12-08
19.902,2.167,8.497,5.914,3.174,1.929,4.962,20.336,4.124,7.664,4.814,7.982,3.41,7.552,3.464,1.662,2.72,3.102,7.498,2.702,1.167,34,37.9,39.9,5.9,34,89,30.25,0.369999999999997,12.7,18.4,0,23,0,0.01,0.586206896551724,0.0344827586206897,0.379310344827586,0.379310344827586,1,0,0,0,0,0,0,0,0,0,2014-12-09
19.951,1.8,5.791,5.626,2.782,1.636,4.214,17.374,3.777,5.039,4.385,5.894,2.816,6.034,2.891,1.472,2.356,2.718,6.856,2.475,0.944,33.1,34,36,2.9,27,78,30.4,0.100000000000001,10.4,12.7,0,0,0,0,0.0416666666666667,0.625,0.333333333333333,0.291666666666667,0,0,0,1,0,0,0,0,0,0,2014-12-10
19.839,0.665,1.313,2.056,0.799,0.45,1.267,3.391,1.239,0.53,1.61,0.637,0.756,1.142,0.604,0.507,0.744,0.81,2.547,0.701,0.469,26.1,30.55,34,7.9,21.9,72.5,30.29,0.0800000000000018,9.8,12.7,0,0,0,0,0,0,0.846153846153846,0.5,1,0,0,0,0,0,0,0,0,0,2014-12-11
19.45,0.99,2.862,3.063,1.723,0.877,2.691,6.838,1.845,2.047,2.613,2.203,1.794,2.779,1.089,0.905,1.518,1.468,4.11,1.292,0.696,25,27,39,14,24.1,86,30.31,0.109999999999999,8.65,13.8,0,0,0,0,0,0.264705882352941,0.470588235294118,0.382352941176471,0,0,0,1,0,0,0,0,0,0,2014-12-12
7.515,0.983,1.915,3.023,1.615,0.758,2.329,6.986,1.575,1.564,2.403,1.382,1.613,2.17,0.767,0.889,1.571,1.467,3.694,1.2,0.663,36,40.45,48.9,12.9,35.8,83,30.225,0.190000000000001,8.1,12.7,0,23,0,0,0,0,1,0.842105263157895,1,0,0,0,0,0,0,0,0,0,2014-12-13
5.951,0.758,1.693,2.354,1.12,0.522,1.649,4.801,2.007,1.001,1.907,0.929,1.017,1.545,0.586,0.695,1.122,1,2.767,0.958,0.57,46.9,48.9,53.1,6.2,45,86,30.1,0.0899999999999999,8.1,15,0,19.6,0,0,0.0666666666666667,0,0.933333333333333,0.7,0,1,1,0,0,0,0,0,0,0,2014-12-14
